CONTRACT_ID,COUNTERPARTY_ID,COUNTERPARTY_TYPE,COUNTRY_CODE,INTERNAL_RATING,SECTOR_CODE,PRODUCT_TYPE,ASSET_CLASS,ORIGINAL_AMOUNT,OUTSTANDING_BALANCE,RESIDUAL_VALUE,PROVISION_AMOUNT,MATURITY_DATE,STATUS,COLLATERAL_TYPE,COLLATERAL_VALUE,HAIRCUT_PCT,ELIGIBLE_FLAG,SEGMENT_CODE,PD_VALUE,LGD_VALUE,EAD_VALUE,RISK_WEIGHT,RWA_VALUE,CAPITAL_REQUIREMENT,CALCULATION_DATE,CALC_STATUS
1,405,CORPORATE,BEL,BB,K,OPERATING_LEASE,PASSENGER_CAR,589659.06,356337.29,101657.67,4090.1,2026-09-25,ACTIVE,VEHICLE,196516.18,0.2,1,CORPORATE,0.01,0.22877519002550445,453904.86,1.0,453904.86,36312.39,2026-05-11,VALID
2,399,SME,ESP,AA,L,FINANCE_LEASE,PASSENGER_CAR,253570.34,235797.31,0.0,14764.95,2025-06-04,WATCHLIST,VEHICLE,163703.59,0.2,1,SME_RETAIL,0.0005,0.14262310188426705,221032.36,0.75,165774.27,13261.94,2026-05-11,VALID
3,841,RETAIL,ESP,A,M,OPERATING_LEASE,LCV,29789.82,9527.54,6557.92,15.27,2029-03-20,ACTIVE,GUARANTEE,8186.62,0.15,1,RETAIL,0.001,0.19844488770823493,16070.19,0.75,12052.64,964.21,2026-05-11,VALID
4,1446,SME,DEU,BBB,A,FINANCE_LEASE,PASSENGER_CAR,337622.11,254799.9,0.0,2045.95,2023-09-03,ACTIVE,VEHICLE,156851.53,0.2,1,SME_CORP,0.0025,0.17624038753894844,252753.94999999998,0.85,214840.86,17187.27,2026-05-11,VALID
5,309,RETAIL,ESP,BBB,J,FINANCE_LEASE,PASSENGER_CAR,10224.21,4330.67,0.0,70.49,2027-03-11,ACTIVE,NONE,0.0,0.0,0,RETAIL,0.0025,0.45,4260.18,0.75,3195.14,255.61,2026-05-11,VALID
6,1368,RETAIL,ESP,BBB,J,FINANCE_LEASE,TRUCK,9110.34,1729.85,0.0,26.18,2029-10-30,ACTIVE,VEHICLE,1805.31,0.2,1,RETAIL,0.0025,0.1,1703.6699999999998,0.75,1277.75,102.22,2026-05-11,VALID
7,780,CORPORATE,NLD,BB,M,OPERATING_LEASE,TRUCK,2188162.39,1565488.26,337299.35,11158.21,2028-01-10,ACTIVE,VEHICLE,1611804.64,0.2,1,CORPORATE,0.01,0.11141981130130453,1891629.4,1.0,1891629.4,151330.35,2026-05-11,VALID
8,1460,RETAIL,ITA,B,F,OPERATING_LEASE,LCV,29656.6,23620.34,4817.06,80.27,2026-07-13,ACTIVE,VEHICLE,19542.46,0.2,1,RETAIL,0.05,0.1570365795128068,28357.13,0.75,21267.85,1701.43,2026-05-11,VALID
9,574,SME,DEU,B,G,OPERATING_LEASE,EQUIPMENT,98071.88,81128.9,11581.67,882.18,2025-09-10,ACTIVE,GUARANTEE,57032.67,0.15,1,SME_RETAIL,0.05,0.16522904490648263,91828.39,0.75,68871.29,5509.7,2026-05-11,VALID
10,1496,SME,DEU,BBB,F,OPERATING_LEASE,PASSENGER_CAR,32792.89,28847.6,4957.77,480.08,2027-01-27,ACTIVE,VEHICLE,31344.23,0.2,1,SME_RETAIL,0.0025,0.1,33325.28999999999,0.75,24993.97,1999.52,2026-05-11,VALID
11,990,SME,NLD,BB,I,FINANCE_LEASE,PASSENGER_CAR,53936.75,38857.14,0.0,437.01,2024-04-20,ACTIVE,VEHICLE,29024.3,0.2,1,SME_RETAIL,0.01,0.13847536434676294,38420.13,0.75,28815.1,2305.21,2026-05-11,VALID
12,1005,SME,DEU,A,F,OPERATING_LEASE,TRUCK,20900.6,10969.82,3960.64,118.85,2025-09-18,ACTIVE,VEHICLE,9773.59,0.2,1,SME_RETAIL,0.001,0.16523918061574666,14811.609999999999,0.75,11108.71,888.7,2026-05-11,VALID
13,845,RETAIL,NLD,BB,K,OPERATING_LEASE,PASSENGER_CAR,16216.39,14510.85,2574.81,205.1,2029-04-04,ACTIVE,VEHICLE,10230.68,0.2,1,RETAIL,0.01,0.18030240702915065,16880.56,0.75,12660.42,1012.83,2026-05-11,VALID
14,678,SME,ESP,B,C,OPERATING_LEASE,PASSENGER_CAR,20188.72,4817.21,4554.88,12.47,2028-09-19,ACTIVE,VEHICLE,5721.94,0.2,1,SME_RETAIL,0.05,0.1788239052440163,9359.619999999999,0.75,7019.71,561.58,2026-05-11,VALID
15,788,RETAIL,FRA,BB,F,FINANCE_LEASE,PASSENGER_CAR,13283.73,1588.45,0.0,19.65,2027-07-15,ACTIVE,GUARANTEE,1580.96,0.15,1,RETAIL,0.01,0.1,1568.8,0.75,1176.6,94.13,2026-05-11,VALID
16,1277,RETAIL,DEU,BB,L,OPERATING_LEASE,PASSENGER_CAR,22811.08,10001.82,1262.09,15.61,2027-01-06,ACTIVE,NONE,0.0,0.0,0,RETAIL,0.01,0.45,11248.3,0.75,8436.22,674.9,2026-05-11,VALID
17,1189,RETAIL,FRA,A,C,OPERATING_LEASE,PASSENGER_CAR,22307.43,12804.39,1956.58,40.9,2027-11-03,ACTIVE,VEHICLE,15012.77,0.2,1,RETAIL,0.001,0.1,14720.07,0.75,11040.05,883.2,2026-05-11,VALID
18,36,RETAIL,ITA,BBB,F,OPERATING_LEASE,PASSENGER_CAR,7061.04,4674.34,520.51,4.81,2028-08-01,ACTIVE,VEHICLE,3021.85,0.2,1,RETAIL,0.0025,0.1869727400944887,5190.04,0.75,3892.53,311.4,2026-05-11,VALID
19,1042,SME,ITA,BBB,M,OPERATING_LEASE,LCV,100661.47,78906.49,15620.56,969.37,2028-07-03,ACTIVE,VEHICLE,79823.12,0.2,1,SME_RETAIL,0.0025,0.1111048756232519,93557.68000000001,0.75,70168.26,5613.46,2026-05-11,VALID
20,1252,RETAIL,FRA,BB,A,FINANCE_LEASE,TRUCK,34426.87,2550.38,0.0,49.18,2024-12-07,ACTIVE,VEHICLE,2106.61,0.2,1,RETAIL,0.01,0.11417287701903085,2501.2000000000003,0.75,1875.9,150.07,2026-05-11,VALID
21,1117,RETAIL,ESP,A,M,OPERATING_LEASE,EQUIPMENT,11725.97,9050.59,623.94,26.85,2028-03-12,ACTIVE,GUARANTEE,8517.8,0.15,1,RETAIL,0.001,0.1,9647.68,0.75,7235.76,578.86,2026-05-11,VALID
22,746,SME,ITA,A,J,FINANCE_LEASE,PASSENGER_CAR,129948.35,76684.57,0.0,721.72,2027-10-12,ACTIVE,VEHICLE,63348.34,0.2,1,SME_RETAIL,0.001,0.11649723911096017,75962.85,0.75,56972.14,4557.77,2026-05-11,VALID
23,504,SME,ESP,BB,I,FINANCE_LEASE,PASSENGER_CAR,466175.81,423125.84,0.0,7564.76,2027-05-21,ACTIVE,VEHICLE,228477.45,0.2,1,SME_RETAIL,0.01,0.19605467384000444,415561.08,0.75,311670.81,24933.66,2026-05-11,VALID
24,1010,SME,ESP,BB,A,FINANCE_LEASE,LCV,74235.5,26955.48,0.0,458.26,2028-08-11,ACTIVE,VEHICLE,26326.24,0.2,1,SME_RETAIL,0.01,0.1,26497.22,0.75,19872.92,1589.83,2026-05-11,VALID
25,996,SME,FRA,BBB,H,FINANCE_LEASE,PASSENGER_CAR,23570.01,14266.47,0.0,120.75,2028-05-08,ACTIVE,VEHICLE,12001.25,0.2,1,SME_RETAIL,0.0025,0.11244758131788271,14145.72,0.75,10609.29,848.74,2026-05-11,VALID
26,562,RETAIL,DEU,A,G,FINANCE_LEASE,PASSENGER_CAR,41598.37,30778.37,0.0,458.42,2028-01-03,ACTIVE,VEHICLE,18268.3,0.2,1,RETAIL,0.001,0.1812951043784703,30319.95,0.75,22739.96,1819.2,2026-05-11,VALID
27,610,SME,FRA,A,L,OPERATING_LEASE,LCV,71686.2,36900.89,6443.91,31.92,2031-07-17,ACTIVE,VEHICLE,35373.75,0.2,1,SME_RETAIL,0.001,0.12132321840524114,43312.880000000005,0.75,32484.66,2598.77,2026-05-11,VALID
28,553,RETAIL,FRA,BBB,H,OPERATING_LEASE,TRUCK,6739.06,1282.56,1029.81,19.41,2026-07-22,ACTIVE,NONE,0.0,0.0,0,RETAIL,0.0025,0.45,2292.96,0.75,1719.72,137.58,2026-05-11,VALID
29,68,RETAIL,FRA,AAA,H,FINANCE_LEASE,PASSENGER_CAR,18146.71,1720.67,0.0,24.97,2029-09-13,ACTIVE,GUARANTEE,1916.13,0.15,1,RETAIL,0.0003,0.1,1695.7,0.75,1271.78,101.74,2026-05-11,VALID
30,48,RETAIL,ESP,BB,L,FINANCE_LEASE,LCV,13419.08,2016.36,0.0,23.51,2030-10-27,ACTIVE,VEHICLE,1037.98,0.2,1,RETAIL,0.01,0.20416142710188925,1992.85,0.75,1494.64,119.57,2026-05-11,VALID
31,125,RETAIL,FRA,BBB,A,OPERATING_LEASE,LCV,5000.0,2477.07,437.76,5.66,2027-11-11,ACTIVE,VEHICLE,1968.4,0.2,1,RETAIL,0.0025,0.16054665076293234,2909.17,0.75,2181.88,174.55,2026-05-11,VALID
32,636,RETAIL,FRA,BBB,I,OPERATING_LEASE,TRUCK,22264.09,13929.48,5395.04,82.52,2027-02-07,ACTIVE,VEHICLE,10307.66,0.2,1,RETAIL,0.0025,0.20000806568963722,19242.0,0.75,14431.5,1154.52,2026-05-11,VALID
33,766,RETAIL,ITA,A,J,OPERATING_LEASE,PASSENGER_CAR,5000.0,2817.34,966.61,9.68,2024-09-02,ACTIVE,NONE,0.0,0.0,0,RETAIL,0.001,0.45,3774.2700000000004,0.75,2830.7,226.46,2026-05-11,VALID
34,613,CORPORATE,ESP,A,A,OPERATING_LEASE,TRUCK,759009.02,524949.25,122483.57,618.81,2025-07-16,ACTIVE,VEHICLE,535750.07,0.2,1,CORPORATE,0.001,0.11807858630025654,646814.01,1.0,646814.01,51745.12,2026-05-11,VALID
35,1433,RETAIL,ITA,BBB,F,OPERATING_LEASE,TRUCK,12591.85,1071.51,1970.24,19.27,2026-08-11,ACTIVE,VEHICLE,734.13,0.2,1,RETAIL,0.0025,0.2819908154892671,3022.48,0.75,2266.86,181.35,2026-05-11,VALID
36,338,SME,BEL,BBB,L,OPERATING_LEASE,PASSENGER_CAR,62042.11,10715.09,7599.79,38.92,2024-12-01,ACTIVE,VEHICLE,7899.44,0.2,1,SME_RETAIL,0.0025,0.22897526586838665,18275.96,0.75,13706.97,1096.56,2026-05-11,VALID
37,590,RETAIL,FRA,BBB,G,OPERATING_LEASE,LCV,29096.43,21386.64,1577.18,88.4,2029-10-12,ACTIVE,VEHICLE,20221.1,0.2,1,RETAIL,0.0025,0.1024894406310354,22875.42,0.75,17156.56,1372.52,2026-05-11,VALID
38,371,SME,BEL,BBB,G,FINANCE_LEASE,LCV,51414.39,38718.33,0.0,542.65,2028-09-21,ACTIVE,VEHICLE,45592.02,0.2,1,SME_RETAIL,0.0025,0.1,38175.68,0.75,28631.76,2290.54,2026-05-11,VALID
39,450,SME,ITA,CCC,A,FINANCE_LEASE,PASSENGER_CAR,109005.82,74348.99,0.0,478.89,2026-06-09,ACTIVE,VEHICLE,58326.38,0.2,1,SME_RETAIL,0.15,0.12891749977325065,73870.1,0.75,55402.58,4432.21,2026-05-11,VALID
40,877,RETAIL,FRA,B,M,FINANCE_LEASE,PASSENGER_CAR,10913.81,7867.62,0.0,63.72,2024-12-07,ACTIVE,VEHICLE,8530.57,0.2,1,RETAIL,0.05,0.1,7803.9,0.75,5852.92,468.23,2026-05-11,VALID
41,465,SME,ITA,BB,C,FINANCE_LEASE,PASSENGER_CAR,26816.07,24592.91,0.0,27.82,2029-06-03,ACTIVE,VEHICLE,24654.21,0.2,1,SME_RETAIL,0.01,0.1,24565.09,0.75,18423.82,1473.91,2026-05-11,VALID
42,477,SME,ITA,BBB,G,OPERATING_LEASE,TRUCK,89987.96,80970.88,10044.47,1500.81,2029-04-18,ACTIVE,VEHICLE,80518.14,0.2,1,SME_RETAIL,0.0025,0.1,89514.54000000001,0.75,67135.9,5370.87,2026-05-11,VALID
43,1007,CORPORATE,DEU,CCC,J,OPERATING_LEASE,PASSENGER_CAR,2108172.58,1328219.68,427174.54,26469.63,2031-09-15,ACTIVE,GUARANTEE,886139.94,0.15,1,CORPORATE,0.15,0.19751987815153932,1728924.59,1.0,1728924.59,138313.97,2026-05-11,VALID
44,1246,RETAIL,FRA,BB,H,FINANCE_LEASE,PASSENGER_CAR,8721.66,2942.7,0.0,21.68,2028-11-15,ACTIVE,VEHICLE,1532.68,0.2,1,RETAIL,0.01,0.20308200560078327,2921.02,0.75,2190.76,175.26,2026-05-11,VALID
45,319,RETAIL,FRA,BBB,H,FINANCE_LEASE,PASSENGER_CAR,24246.3,1520.22,0.0,6.56,2026-10-05,ACTIVE,REAL_ESTATE,1259.77,0.1,1,RETAIL,0.0025,0.1,1513.66,0.75,1135.25,90.82,2026-05-11,VALID
46,168,CORPORATE,FRA,A,M,FINANCE_LEASE,LCV,2566616.51,1587317.07,0.0,22405.68,2030-12-23,ACTIVE,VEHICLE,1470288.47,0.2,1,CORPORATE,0.001,0.1,1564911.3900000001,1.0,1564911.39,125192.91,2026-05-11,VALID
47,360,SME,ESP,A,L,FINANCE_LEASE,LCV,143801.46,63009.98,0.0,954.9,2028-11-19,ACTIVE,VEHICLE,52571.11,0.2,1,SME_RETAIL,0.001,0.11279281567278615,62055.08,0.75,46541.31,3723.3,2026-05-11,VALID
48,867,CORPORATE,ESP,A,F,FINANCE_LEASE,PASSENGER_CAR,120801.25,22025.05,0.0,67.67,2029-11-24,ACTIVE,VEHICLE,16937.51,0.2,1,CORPORATE,0.001,0.13401326569927743,21957.38,1.0,21957.38,1756.59,2026-05-11,VALID
49,1440,CORPORATE,FRA,AAA,C,FINANCE_LEASE,PASSENGER_CAR,100000.0,24373.2,0.0,237.35,2028-05-28,ACTIVE,VEHICLE,17108.8,0.2,1,CORPORATE,0.0003,0.15152080825825484,24135.850000000002,1.0,24135.85,1930.87,2026-05-11,VALID
50,241,CORPORATE,BEL,A,F,FINANCE_LEASE,PASSENGER_CAR,2237630.54,1997927.47,0.0,7811.87,2027-02-03,ACTIVE,VEHICLE,2200861.87,0.2,1,CORPORATE,0.001,0.1,1990115.5999999999,1.0,1990115.6,159209.25,2026-05-11,VALID
51,65,SME,DEU,BB,J,FINANCE_LEASE,PASSENGER_CAR,287088.53,31464.98,0.0,147.09,2027-03-23,ACTIVE,VEHICLE,19471.4,0.2,1,SME_RETAIL,0.01,0.17591445336834627,31317.89,0.75,23488.42,1879.07,2026-05-11,VALID
52,793,RETAIL,FRA,BB,A,OPERATING_LEASE,LCV,12914.35,9798.43,1965.74,96.77,2029-04-25,ACTIVE,REAL_ESTATE,4936.02,0.1,1,RETAIL,0.01,0.21673583660455623,11667.4,0.75,8750.55,700.04,2026-05-11,VALID
53,1487,CORPORATE,ITA,AA,M,OPERATING_LEASE,PASSENGER_CAR,2329683.51,2007824.68,518548.42,16047.93,2029-03-05,ACTIVE,VEHICLE,1155943.87,0.2,1,CORPORATE,0.0005,0.22106678948687747,2510325.17,1.0,2510325.17,200826.01,2026-05-11,VALID
54,829,CORPORATE,NLD,BBB,L,OPERATING_LEASE,TRUCK,904764.74,605751.55,56323.83,5754.79,2024-03-06,ACTIVE,GUARANTEE,490633.94,0.15,1,CORPORATE,0.0025,0.1276032028036786,656320.59,1.0,656320.59,52505.65,2026-05-11,VALID
55,1387,SME,FRA,AAA,C,OPERATING_LEASE,LCV,105780.36,11128.89,6903.07,85.54,2029-01-21,ACTIVE,GUARANTEE,9928.0,0.15,1,SME_RETAIL,0.0003,0.1854223293559384,17946.42,0.75,13459.81,1076.78,2026-05-11,VALID
56,964,RETAIL,FRA,BBB,F,FINANCE_LEASE,TRUCK,11763.65,9543.47,0.0,13.95,2027-01-25,ACTIVE,REAL_ESTATE,9431.53,0.1,1,RETAIL,0.0025,0.1,9529.519999999999,0.75,7147.14,571.77,2026-05-11,VALID
57,48,RETAIL,ESP,BB,L,OPERATING_LEASE,PASSENGER_CAR,32234.77,20564.5,3317.42,31.34,2026-05-18,ACTIVE,VEHICLE,18356.23,0.2,1,RETAIL,0.01,0.13450233076092907,23850.58,0.75,17887.94,1431.04,2026-05-11,VALID
58,642,CORPORATE,FRA,BBB,K,OPERATING_LEASE,PASSENGER_CAR,1036180.21,310159.42,198745.51,1624.98,2027-10-25,ACTIVE,VEHICLE,292886.84,0.2,1,CORPORATE,0.0025,0.18833716432119973,507279.95,1.0,507279.95,40582.4,2026-05-11,VALID
59,1156,RETAIL,FRA,CCC,C,FINANCE_LEASE,PASSENGER_CAR,7446.04,4591.9,0.0,48.02,2026-10-07,ACTIVE,NONE,0.0,0.0,0,RETAIL,0.15,0.45,4543.879999999999,0.75,3407.91,272.63,2026-05-11,VALID
60,765,CORPORATE,FRA,BBB,K,OPERATING_LEASE,EQUIPMENT,1709793.76,295603.69,231179.36,1258.95,2028-07-22,ACTIVE,VEHICLE,238657.26,0.2,1,CORPORATE,0.0025,0.22284306694973643,525524.1,1.0,525524.1,42041.93,2026-05-11,VALID
